Phản hồi,Lecturer_Sentiment,Training_Sentiment,Facility_Sentiment,Others_Sentiment
chủ yếu dựa vào năng lực tự học của sinh viên .,,Tiêu cực 😠,,
"đúng giờ , tận tình .",Tích cực 😄,,,
thầy lên lớp đúng giờ .,Tích cực 😄,,,
"giọng cô khó nghe , cô truyền đạt chưa hay , giảng nhanh .",Tiêu cực 😠,,,
sự nhiệt tình .,Tích cực 😄,,,
"thầy cho ít bài tập để làm , toàn bộ bài tập em làm đều là do các bạn ở lớp khác chia sẻ .",Tiêu cực 😠,,,
thầy dạy rất truyền cảm .,Tích cực 😄,,,
thầy rất đúng giờ .,Tích cực 😄,,,
cô có tổ chức một hoạt động về anh văn nhưng em thấy chưa thực sự có hiệu quả ( đó là ý kiến cá nhân của em ) .,Tiêu cực 😠,,,
"giảng khó hiểu , nhưng phần lớn là do môn giải tích khó .",Tiêu cực 😠,,,
"cô tạo được một môi trường học tập rất thân thiện , thoải mái và không kém phần bổ ích cho sinh viên , hy vọng cô sẽ dạy nhiều hơn .",Tích cực 😄,,,
khi nào sinh viên chưa hiểu đều giảng nhiệt tình .,Tiêu cực 😠,,,
thầy dịch slide và giảng khó hiểu .,Tiêu cực 😠,,,
không đăng slide bài giảng lên course .,Tiêu cực 😠,,,
cẩn thận .,,,,
thầy cần chủ động về thời gian .,Tiêu cực 😠,,,
"thầy giáo tích cực , tâm lý .",Tích cực 😄,,,
"thầy tận tâm , nhiệt tình với sinh viên .",Tích cực 😄,,,
thầy dạy bám sát nội dung cần thiết nhiệt tình .,Tích cực 😄,,,
em mong thầy sẽ cung cấp chúng em nhiều tài liệu chính thống hơn để chúng em có thể dễ dàng tìm hiểu kiến thức môn học .,Tiêu cực 😠,,,
"cô dạy nhiệt tình , thường xuyên chia sẻ bài trên website môn học .",Tích cực 😄,,,
đã là chủ nhật còn bắt đi học .,,Tiêu cực 😠,,
thầy nhiệt tình giảng bài !,Tích cực 😄,,,
quá nhiều nội dung không cần thiết .,,Tiêu cực 😠,,
thầy giảng kỹ bài .,Tích cực 😄,,,
"cô nhiệt tình với sinh viên , vui vẻ .",Tích cực 😄,,,
"thầy dạy vui tính , không áp lực .",Tích cực 😄,,,
"việc truyền đạt kiến thức theo lối bình dân , khiến sinh viên khó hình dung , nắm bắt được mình đang được truyền đạt điều gì .",Tiêu cực 😠,,,
và nội dung đó không giúp sinh viên sau này nhiều .,,,,
"thầy giảng bài rất nhiệt tình , có các ví dụ minh họa để làm rõ vấn đề .",Tích cực 😄,,,
các bài tập thực hành giúp nâng cao kiến thức đã học trên lớp .,,Tích cực 😄,,
báo nghỉ không đại trà .,Tiêu cực 😠,,,
"cô dạy hay tuyệt , rất dễ hiểu .",Tích cực 😄,,,
thầy giao đồ án cho sinh viên tự bơi .,Tiêu cực 😠,,,
"dạy đúng giờ , thường xuyên đưa bài tập lên moodle , tạo cơ hội cho học sinh rèn luyện kỹ năng nghe và nói nhiều .",Tích cực 😄,,,
giảng viên giảng chưa được thú vị .,Tiêu cực 😠,,,
em muốn thầy dạy và sửa bài tập .,Tích cực 😄,,,
đừng có một chỗ tiếng anh một chỗ tiếng việt .,,Tiêu cực 😠,,
giảng dạy hay dễ hiểu .,Tích cực 😄,,,
cần sử dụng phòng elab và các thiết bị nghe nhìn cho lớp chất lượng cao .,,,Tiêu cực 😠,
thầy nhiệt tình trong cách giảng dạy .,Tích cực 😄,,,
"theo như danh sách phòng đào tạo đưa xuống , lớp học có gần 140 sinh viên đăng kí .",,Tiêu cực 😠,,
môn này là môn quan trọng trong truyền thông nên cần thực hành trên phần mềm và thiết bị mô phỏng nhiều hơn .,,Tiêu cực 😠,,
giảng viên giảng dạy theo đúng quy trình .,Tích cực 😄,,,
"hiện tại tương đối tốt , không cần điều chỉnh gì thêm .",,,,
"giảng dạy tận tâm , nhiệt tình , hay .",Tích cực 😄,,,
vui tính hoà đồng .,Tích cực 😄,,,
"giảng viên thường cho một số bài tập nâng cao , hơi quá sức đối với tụi em .",Tiêu cực 😠,,,
"thầy khá hiền , ít nói .",Tiêu cực 😠,,,
"cô dạy dễ hiểu , bài giảng sống động .",Tích cực 😄,,,
"thầy cho bài tập về quá nhiều , thời gian cố định , ngắn nên không đủ thời gian để làm bài .",Tiêu cực 😠,,,
"giáo viên dạy tận tình , dễ hiểu , hay giải đáp những thắc mắc của sinh viên về môn học .",Tích cực 😄,,,
nhà trường nên có nhiều giáo trình bài tập và hướng dẫn giải bài tập nhiều hơn .,,Tiêu cực 😠,,
"tận tâm , nhiệt tình giải đáp thắc mắc trong quá trình học .",Tích cực 😄,,,
"thầy dạy vui , không khô khan , liên tưởng tốt .",Tiêu cực 😠,,,
tệ đến mức không tả được .,,,,
"giảng viên diễn đạt quá nhanh , lớp thường rất đông , rất thiệt thòi cho sinh viên ngồi cuối lớp do không nhìn thấy nội dung bài giảng .",Tiêu cực 😠,,,
thầy không cho slide bài giảng cũng không giới thiệu tài liệu đọc thêm .,Tiêu cực 😠,,,
nếu là điểm cố định thì thầy phải cho cơ hội cho tất cả các sinh viên đều nộp bài được và giải thích rõ ràng khung điểm này từ đầu .,Tiêu cực 😠,,,
thầy tiếp tục giảng bài .,Tiêu cực 😠,,,
"tài liệu thầy cung cấp đầy đủ , cụ thể .",Tích cực 😄,Tích cực 😄,,
cực kỳ nhiệt tình .,Tích cực 😄,,,
"thầy ít có giảng về bài tập , chỉ cho sinh viên tự tìm hiểu .",Tiêu cực 😠,,,
giáo viên có kiến thức tốt .,Tích cực 😄,,,
"nhờ thầy cho bài tập và sửa thầy không làm , và cũng giảng nhưng mà để làm được bài thì em muốn có được cách làm rõ ràng .",Tiêu cực 😠,,,
"học thầy rất là vui , mà còn biết thêm nhiều cái hay nữa .",Tích cực 😄,,,
có thể tổ chức các buổi seminar nhằm kích thích sinh viên tìm hiểu thêm và ứng dụng tốt hơn môn học này vào thực tiễn .,,Tiêu cực 😠,,
"thầy giảng bài khá là dễ hiểu , chậm nhưng chắc .",Tích cực 😄,,,
"dạy dễ hiểu , và cung cấp thêm những phương pháp học tập hiệu quả .",Tích cực 😄,,,
"cô dạy rất dễ thương , dễ hiểu , nắm chắc kiến thức .",Tích cực 😄,,,
"thầy giảng dạy nhiệt tình , hăng say !",Tích cực 😄,,,
"thêm nữa , thầy cũng không muốn nhìn thấy một sinh viên ngủ gục trên bàn mà vẫn có tên trong danh sách điểm danh .",Tiêu cực 😠,,,
thầy dạy dễ hiểu tận tâm nhiệt tình với sinh viên .,Tích cực 😄,,,
giải bài tập cho sinh viên nhiều .,Tích cực 😄,,,
môn mạng máy tính còn nặng nề lý thuyết rất nhiều .,,,Tiêu cực 😠,
thầy giảng bài rất hay !,Tích cực 😄,,,
không áp lực khi học tập .,,Tiêu cực 😠,,
"tiết học căng thẳng , phải thường xuyên đúng giờ .",Tích cực 😄,,,
"nhưng thầy rất ra dáng một doanh nhân thành đạt , một người diễn thuyết tạo cảm hứng nhiều hơn là kiến thức phù hợp với sinh viên .",Tích cực 😄,,,
thầy lồng ghép ví dụ thực tiễn vào bài học .,Tích cực 😄,,,
"cô dạy nhiệt tình và có tâm huyết , dễ hiểu , cô dạy rất hay và cung cấp cho em nhiều kiến thức , trình độ của cô rất giỏi .",Tích cực 😄,,,
nâng cấp hệ thống loa cho các phòng học .,,,Tiêu cực 😠,
"giảng viên nhiệt tình , tâm huyết , giảng dạy tốt .",Tích cực 😄,,,
đề nghị trừ lương .,,,,
"thầy dạy hay nhưng không ôn tập thi giữa kỳ , cuối kỳ cho sinh viên .",Tiêu cực 😠,,,
thầy dạy hay và tận tâm với em .,Tích cực 😄,,,
"nhiệt tình , tận tâm , giảng dễ hiểu .",Tích cực 😄,,,
"em thích cách dạy của thầy , làm bài tập sau khi giảng xong lý thuyết cho sinh viên có thể nhớ ngay hôm ấy không cần về nhà coi lại bài .",Tiêu cực 😠,,,
giảng viên cần đảm bảo thời gian lên lớp .,Tiêu cực 😠,,,
giảng viên cho bài tập bám sát nội dung giảng dạy .,Tích cực 😄,,,
giảng viên nhiệt tình !,Tích cực 😄,,,
máy chiếu tại phòng học còn mờ .,,,Tiêu cực 😠,
viết quá nhiều ví dụ trùng lặp ( dạng ) với nhau .,Tiêu cực 😠,,,
tài liệu môn mạng máy tính được dịch từ computer networking a topdown aproach còn hơi khó hiểu để sinh viên học hay tự nghiên cứu .,,Tiêu cực 😠,Tiêu cực 😠,
thầy rất nhiệt tình giảng dạy .,Tích cực 😄,,,
"em mong muốn được nghe thầy kể nhiều câu chuyện về sự nghiệp và cuộc đời , gian nan từng trải của thầy trong các bài học nhiều hơn nữa , có lẻ sinh viên sẽ học được nhiều điều hơn .",Tiêu cực 😠,,,
"em thấy lúc giảng , thầy chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh viên cảm thấy nhàm chán .",Tiêu cực 😠,,,
thầy dạy rất dễ hiểu .,Tích cực 😄,,,
"dạy chắc chắn kiến thức , truyền đạt tốt .",Tích cực 😄,,,
"thầy dạy rất hay , quan tâm học sinh .",Tích cực 😄,,,
giáo trình môn học được cập nhật .,,Tiêu cực 😠,,
thầy thường xuyên đặt ra những deadline không phù hợp với sinh viên .,Tiêu cực 😠,,,
phương pháp dạy thực hành rất hay .,Tích cực 😄,,,
"giảng viên tận tâm , nhiệt tình , dễ tính , lên lớp đúng giờ .",Tích cực 😄,,,
quá khắt khe colonsad .,Tiêu cực 😠,,,
em mới gặp thầy buổi thực hành cũng là buổi thi .,Tích cực 😄,,,
"cô dạy hay , lại rất đúng giờ dạy học .",Tích cực 😄,,,
giải đáp rất tận tình mọi thắc mắc của sinh viên .,Tích cực 😄,,,
"cô dễ thương , tận tâm với sinh viên .",Tích cực 😄,,,
cách giảng của thầy hơi đều và chậm .,Tiêu cực 😠,,,
"giảng viên nhiệt tình , tạo nhiều hoạt động cho lớp .",Tích cực 😄,,,
cần thể hiện chi tiết hơn nội dung của môn học và nhiều ví dụ minh hoạ hơn .,,Tiêu cực 😠,,
không đảm bảo giờ lên lớp .,Tiêu cực 😠,,,
"mỗi khi báo cáo tiến độ đồ án trong năm học , giảng viên chỉ chỉ ra duy nhất một lỗi trong đồ án cho sinh viên , mà không xem toàn bộ đồ án để góp ý cho sinh viên mọi sai sót để sinh viên khắc phục trong lần báo cáo cuối kỳ .",Tiêu cực 😠,,,
quá tệ .,,,,
"giảng viên tận tâm , nhiệt tình , vui vẻ .",Tích cực 😄,,,
tăng thêm thời lượng môn học .,,Tiêu cực 😠,,
giúp học sinh chủ động trong việc thực hiện đề tài và nhiệt tình giúp đỡ sinh viên tìm tài liệu .,Tích cực 😄,,,
cung cấp nhiều kiến thức bổ ích cho sinh viên .,Tích cực 😄,,,
"giảng viên nhiệt tình trong giảng dạy , hệ thống tài liệu học tập được update tốt .",Tích cực 😄,,,
giáo viên nhiệt tình giảng dạy .,Tích cực 😄,,,
thầy dạy rất nhiều điều bổ ích từ học tập đến cuộc sống ngoài đời .,Tích cực 😄,,,
"cách diễn đạt dễ hiểu , vui vẻ , tận tình với học sinh .",Tích cực 😄,,,
"hay đi trễ , dạy lố thời gian .",Tiêu cực 😠,,,
tận tình chu đáo dễ hiểu .,Tích cực 😄,,,
giải đáp thắc mắc sinh viên kỹ lưỡng .,Tích cực 😄,,,
"phần đầu môn này nói về những chủ đề đại loại như "" làm thế nào để thành công "" , "" thói quen người thành công "" hay là bàn về tương lai vdotv .",,,,
"dạy nhiệt tình , vui vẻ trong giờ học .",Tích cực 😄,,,
như vậy là được .,,,,Trung lập 😐
thấy rất vui tính .,Tích cực 😄,,,
"giảng dạy quoa loa , thiếu nhiệt tình , chương trình học hoàn toàn không ăn khớp với lý thuyết .",Tiêu cực 😠,,,
giảng viên nên dạy kỹ hơn các phần quan trọng của bài học .,Tiêu cực 😠,,,
"giáo viên không nhiệt tình , tận tâm với sinh viên .",Tiêu cực 😠,,,
"môn học này không có sắp xếp lịch học , phòng học .",,Tiêu cực 😠,,
"nhiều bạn phải học tiết 4 , 5 phải nghỉ giữa chừng để đi học môn khác như tư tưởng .",,,,
khả năng tiếng anh .,,,,
không công bố điểm giữa kỳ sớm .,,Tiêu cực 😠,,
nên giảng những phần cần chú trọng nhiều hơn .,Tiêu cực 😠,,,
phương pháp giảng tốt .,Tích cực 😄,,,
thầy dạy dễ hiểu !,Tích cực 😄,,,
"thầy lên lớp rất trễ , giờ học bắt đầu vào lúc 13h00 thì có hôm 13h30 hoặc 14h00 thầy mới vô .",Tiêu cực 😠,,,
"thầy dạy hay , cung cấp thông tin rất chi tiết , ví dụ dễ hiểu .",Tích cực 😄,,,
"giảng viên vui vẻ , giảng dạy tận tâm , đến lớp đầy đủ đúng giờ .",Tích cực 😄,,,
giảng viên tận tâm nhiệt tình vui vẻ .,Tích cực 😄,,,
giọng nói khó truyền đạt kiến thức một cách hiệu quả nhất .,Tiêu cực 😠,,,
học còn khá tẻ nhạt .,Tiêu cực 😠,,,
"giọng nói hơi nhỏ , khó tiếp thu !",Tiêu cực 😠,,,
"dạy rất kỹ , rất nhiệt tình , thêm giờ để hoàn thành xong bài giảng , hỏi han sinh viên , nói chung là rất tuyệt .",Tích cực 😄,,,
thực hành nhiều hơn .,,Tiêu cực 😠,,
"tiết học vui vẻ , thoải mái , thầy dạy nhiệt tình , dễ tiếp thu .",Tích cực 😄,,,
nhiều phần nâng cao thường bị giảng viên bỏ qua .,Tiêu cực 😠,,,
dời lịch hẹn gặp sinh viên nhưng không thông báo .,Tiêu cực 😠,,,
"phòng học , micro , máy chiếu cần nâng cấp và cải thiện và bảo trì thường xuyên hơn .",,,Tiêu cực 😠,
tận dụng hết thời gian .,Tích cực 😄,,,
"thầy dạy tận tâm , nhiệt tình , tạo nhiều điều kiện giúp đỡ , hỗ trợ sinh viên học tập tốt môn học .",Tích cực 😄,,,
đôi lúc giảng quá nhanh .,Tiêu cực 😠,,,
"thầy dạy với tư tưởng là sinh viên biết hết cả rồi , lên giảng dạy chỉ nói vài chỗ .",Tích cực 😄,,,
cần đổi mới tài liệu .,,Tiêu cực 😠,,
do đó làm hiệu quả học chưa đạt mức tốt nhất .,,Tiêu cực 😠,,
"tận tâm , nhiệt tình giảng dạy , tiết học có lồng ghép nhiều chuyện đời vui vẻ , lý thú , không gây buồn ngủ .",Tích cực 😄,,,
"hoạt động dạy và học rất sôi nổi , rất tận tâm và nhiệt huyết !",Tích cực 😄,,,
"nhiệt tình , tạo không khí học tập tốt .",Tích cực 😄,,,
thầy nên up các bài giải lên để em so sánh kết quả cho dễ .,Tiêu cực 😠,,,
"cơ sơ vật chất tốt , giảng hay .",,,Tiêu cực 😠,
"em nghĩ nhà trường nên nâng cấp phiên bản của sql vì sql 2005 mà nhà trường đang cho sinh viên thực hành còn thiếu sót nhiều chức năng , hỗ trợ .",,Tiêu cực 😠,,
"giảng viên cũng hỗ trợ nhiều kiến thức cho sinh viên , giúp sinh viên hiểu bài tốt hơn .",Tích cực 😄,,,
dạy nói hơi nhỏ .,Tiêu cực 😠,,,
em thấy cô dạy rất hay .,Tích cực 😄,,,
thầy dạy rất nhiệt tình .,Tích cực 😄,,,
"sinh viên lớp chất lượng cao nhưng lại xếp thi phòng thực hành của lớp thường , việc cấu hình máy mất hơn nửa tiếng cho cả lớp , chưa kể còn nhiều bất cập khi làm bài thi .",,,,
"cách truyền đạt kiến thức dễ hiểu , sự hài hước vui vẻ .",Tích cực 😄,,,
"phương pháp dạy của thầy rất hay , cho điểm rất rõ ràng .",Tích cực 😄,,,
tận tình nhiệt huyết .,Tích cực 😄,,,
"giáo viên giảng bài dễ hiểu , nhiệt tình .",Tích cực 😄,,,
"tận tâm , nhiệt tình , đúng giờ .",Tích cực 😄,,,
"cô nhiệt tình , tận tâm , dạy dễ hiểu , quan tâm học sinh , lớp hoạt động sôi nổi , phát âm dễ nghe , dễ hiểu .",Tích cực 😄,,,
"giáo viên dạy nhiệt tình , dễ hiểu .",Tích cực 😄,,,
cách thức diễn đạt chưa đạt hiệu quả tốt .,Tiêu cực 😠,,,
nội dung bài giảng khó hiểu .,,Tiêu cực 😠,,
không hài lòng với sự cố gắng của bản thân mình .,,,,
lịch học bù không phù hợp với sinh viên .,,Tiêu cực 😠,,
một người thầy như vậy thì làm sao có thể dạy được học sinh tốt .,Tích cực 😄,,,
"đúng từng câu chữ thì ok , còn lại failse .",Tích cực 😄,,,
good .,,,,Tích cực 😄
khó tính .,,,,
do học khoa khác nên dạy không theo kịp tiếng độ của chương trình .,,Tiêu cực 😠,,
"giảng viên dạy hay , tận tâm , dễ hiểu bài .",Tích cực 😄,,,
giảng viên tận tâm và nhiệt tình .,Tích cực 😄,,,
quan tấm sinh viên nhiều hơn .,Tiêu cực 😠,,,
giáo viên nên làm nhiều bài tập mẫu cho sinh viên .,Tiêu cực 😠,,,
không nên dừng lại chỉ ở mức khái niệm .,,,,
"mong muốn nhà trường , khoa cùng giảng viên có thể thay đổi nội dung sao cho hấp dẫn hơn .",Tiêu cực 😠,,,
